molecular_entity_name,database_identifier,var1_levels,var1_uri,var2_levels,var2_uri,treatment,sample_size,sample_mean,unit,sem
hexan-2-ol,CHEBI:88370,R. chinensis 'Old Blush',http://purl.obolibrary.org/obo/NCBITaxon_74649,sepal,http://purl.obolibrary.org/obo/PO_0009031,R. chinensis 'Old Blush' sepals,3,,,
hexanal,CHEBI:88528,R. chinensis 'Old Blush',http://purl.obolibrary.org/obo/NCBITaxon_74649,sepal,http://purl.obolibrary.org/obo/PO_0009031,R. chinensis 'Old Blush' sepals,3,4.95,,0.59
